Category,Name,Price,Glass,Bottle
Breakfast,Banana bread,6.50,,
Breakfast,Big breakfast,26,,
Breakfast,Breakfast burger,19,,
Breakfast,Chilli scramble,24,,
Breakfast,Eggs Benedict,24,,
Breakfast,Eggs Florentine,22,,
Breakfast,Eggs Royale,24,,
Breakfast,Eggs on toast,12,,
Breakfast,French toast,22,,
Breakfast,Smash avocado,24,,
Breakfast,Toast,8,,
Breakfast,Toastie ham & cheese,8.50,,
Antipasti,Arancini Bolognese,12,,
Antipasti,Burrata,16,,
Antipasti,Calamari,14,,
Antipasti,Focaccia,10,,
Antipasti,Garlic and mozzarella pizza,16,,
Antipasti,Polpette in sugo,16,,
Antipasti,Chips,10,,
Pizza,Margherita,24,,
Pizza,Sud,22,,
Pizza,Tropicale,26,,
Pizza,Capricciosa,26,,
Pizza,Diavola,26,,
Pizza,Pepperoni,28,,
Pizza,Salsiccia e Friarielli,27,,
Pizza,Salsiccia e Patate,28,,
Pizza,Funghi,30,,
Pizza,Gamberi,30,,
Pizza,Prosciutto,30,,
Pizza,Pane,5,,
Pizza,Nutella,16,,
Pasta,Spaghetti aglio e olio,22,,
Pasta,Spaghetti alla gricia,26,,
Pasta,Spaghetti puttanesca,26,,
Pasta,Fusilli zucchini pesto,26,,
Pasta,Gnocchi with butter and sage,26,,
Pasta,Rigatoni alla norma,27,,
Pasta,Pappardelle with beef ragù,28,,
Pasta,Lasagna,30,,
Mains,Chicken dish,30,,
Mains,Veal cotoletta alla Milanese,32,,
Mains,Fish dish,34,,
Mains,Ossobuco Milanese,36,,
Contorni,Patate fritte,10,,
Contorni,Insalata mista,12,,
Contorni,Broccolini,12,,
Contorni,Rucola salad,14,,
Contorni,Insalata caprese,16,,
Dessert,Cannolo,6,,
Dessert,Tiramisu,11,,
Dessert,Nutella pizza,16,,
Pastries,Choc fingers,3.50,,
Pastries,Muesli bars,3.50,,
Pastries,Biscuit,4,,
Pastries,Muffin,5,,
Pastries,Croissant,6,,
Pastries,Chocolate croissant,6.50,,
Pastries,Danish,6.50,,
Hot Drinks,Babycino,2,,
Hot Drinks,Espresso,4,,
Hot Drinks,Short macchiato,4.50,,
Hot Drinks,Cappuccino,5,,
Hot Drinks,Flat white,5,,
Hot Drinks,Latte,5,,
Hot Drinks,Long black,5,,
Hot Drinks,Long macchiato,5,,
Hot Drinks,Chai latte,5,,
Hot Drinks,Hot chocolate,5,,
Hot Drinks,Tea,5,,
Hot Drinks,1 kg coffee beans,45,,
Cocktails,Gin tonic,15,,
Cocktails,Negroni Sbagliato,16,,
Cocktails,Americano,16,,
Cocktails,Negroni,18,,
Spritz,Aperol Spritz,16,,
Spritz,Campari Spritz,16,,
Spritz,Limoncello Spritz,18,,
Wine,Prosecco,,12,46
Wine,Pinot Grigio,,13,49
Wine,Sauvignon Blanc,,13,49
Wine,Chardonnay,,15,56
Wine,Musita Amal,,15,56
Wine,Pinot Noir,,15,56
Wine,Chianti,,15,56
Wine,Valpolicella Classico,,16,60
Wine,Fiano,,,57
Wine,Governo Toscano,,,59
Wine,Grillo Funaro,,,64
Wine,Nero d'Avola,,,64
Wine,Simon Tolley Estate Syrah,,,64
Beers,Carlton Dry,9,,
Beers,Birra Moretti,10,,
Beers,Corona,10,,
Beers,Peroni Rossa,10,,
Beers,Stone & Wood,11,,
Spirits,Sambuca,9,,
Spirits,Amaretto di Saronno,10,,
Spirits,Limoncello,11,,
Spirits,Montenegro,11,,
Soft Drinks,Coke,4,,
Soft Drinks,Coke Zero,4,,
Soft Drinks,Juice,4,,
Soft Drinks,Lemonade,4,,
Soft Drinks,Solo,4,,
Soft Drinks,Aranciata Rossa,4.50,,
Soft Drinks,Chinotto,4.50,,
Soft Drinks,Limonata,4.50,,
Soft Drinks,San Pellegrino (small),4.50,,
Soft Drinks,Sanbitter,4.50,,
Soft Drinks,Lemon-lime bitters,5.50,,
Soft Drinks,San Pellegrino (large),9,,
Soft Drinks,Non-alcoholic beer,9,,
